Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Subject_tx,x
control_0,pc1,0.2714508628045613,0.1803368822328617,0.20388859566744694,-9.511944316255299,10,15.494903389361745,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0']","[0.005336762835541, -0.0681980256575988, 0.04947590090608611, 0.04755014558003729, 0.16393112884737307, 0.28729823793233933, 0.22148181550674811, 0.23707335387716677, 0.16042060117237134, 0.2056960331937137]"
control_0,pc2,0.25421056301992584,1.0233023034384512,-0.03900905278168405,-10.561964497878197,10,15.285481414055297,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0']","[-0.0025413741615220387, 0.0030106327980395564, -0.04224128500414336, -0.18484499686925185, -0.03194041955901836, -0.03187987699942369, 0.024432936318141155, -0.0047980859089174, -0.09275810186901959, 0.007970138439563679]"
control_0,pc3,0.24185259811034138,0.4441903472748026,-0.027708594966307683,-11.359275192925395,10,15.139930784364374,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0', 'control_0']","[-0.004256482325255891, 0.11221246508641514, 0.09847766479518603, 0.014720334072097885, -0.029346244114405902, -0.07507095642252078, -0.10580621469877174, -0.11673958467107637, -0.02634564271831344, -0.007913039716003711]"
control_1,pc1,0.25910678151703653,0.6441233556533528,0.0376203079466598,-10.256800809850134,10,15.344118041572523,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1']","[-0.004952870694631168, -0.06984543874756423, -0.06360983268324426, -0.0316840728341167, 0.033125139224117764, 0.1512720221728301, 0.09055620823319024, 0.021160359936266734, -0.0367505212074183, 0.09265454883858974]"
control_1,pc2,0.17900278963195487,0.7078147156319092,0.007393902567988915,-16.174209576838436,10,14.433164055544463,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1']","[0.0074694910432240415, -0.012021511087521107, -0.035252195492701276, -0.04308330509312994, -0.03410391147394718, 0.04184008263786131, -0.01476116283806199, 0.019450795744403927, 0.01648459909926076, 0.05580423367742046]"
control_1,pc3,0.21130829482862423,1.267321353146075,0.009788089228082504,-13.519551007684568,10,14.791726278854831,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1', 'control_1']","[-0.00403186041228683, -0.04182846449641636, -0.009397693558107018, 0.059412902952779234, 0.0054985782526277005, 0.06540248063264259, -0.030874277799255112, -0.054804128270363316, 0.06403379181335767, 0.006936013048246155]"
control_2,pc1,0.23683112257739586,0.43328366843392147,0.1745467365198452,-11.694962913054216,10,15.081683542297034,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2']","[-0.0036651376926358894, 0.02674277893903639, 0.05308212981161532, 0.12331098712399759, 0.20784903173932723, 0.16380356684580882, 0.08698321368320372, 0.1090597466296781, 0.12684286514630302, 0.2519254293359596]"
control_2,pc2,0.185343546313964,0.6224481072790539,0.11457539671951396,-15.617113600165501,10,14.503265322771597,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2']","[0.007379497481884425, 0.04895811285640309, 0.03620820131156759, 0.08834536849630956, 0.0784596497476347, 0.09127319440442114, 0.18167954640085948, 0.12688901744626652, 0.14880855817982427, 0.09270340238658585]"
control_2,pc3,0.2571243232633251,0.5352077280059141,-0.009823193894455982,-10.379580077190665,10,15.320319156143697,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2', 'control_2']","[-0.00734722926966078, 0.07377872709546315, 0.14431086368326912, 0.06573540044868204, 0.11107084321680948, 0.04316715882260068, -0.08769014390794753, -0.022109993242810613, -0.11375687226479525, -0.05026579845678719]"
control_3,pc1,0.22663854918757093,1.085118636477921,-0.04341182388915027,-12.398830992627587,10,14.964795613242508,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3']","[0.0011883125254654515, -0.0229216641520409, 0.005368283583566502, -0.07495821966304266, -0.023696106220808852, -0.012786445568596892, -0.1208564653804371, -0.08341203901068178, -0.06499090745679265, 0.05861270943025729]"
