Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
destabilizing_treatment_16,pc2,0.24268401306460002,0.31045691225649275,-0.26066372519529923,-11.304266310877898,10,15.149639591800845,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.00482856971759946, -0.08011653587543491, -0.1225966883732034, -0.055308526940422556, -0.1575102065183267, -0.18617949303512643, -0.2176002853951725, -0.3423454907674332, -0.2765271446413878, -0.2715930984446918]"
destabilizing_treatment_16,pc3,0.22265235018223659,0.147159557524966,-0.10763405440239351,-12.682796331042107,10,14.919507088929976,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.005453551828206207, 0.04078328636804003, -0.015809630403916183, 0.05421768693695721, -0.029562079514398654, -0.037193614012419864, -0.09731835849819273, -0.10207036561328844, -0.153857250408567, -0.1317964825947024]"
destabilizing_treatment_17,pc1,0.21463275378056165,0.3525259436998539,-0.19334798513939702,-13.269827967553054,10,14.829014231504996,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0017460717891148404, -0.0651032240733473, -0.16026894568816025, -0.16809199612331632, -0.15769803770454113, -0.08058830860608182, -0.11092449412687724, -0.21831341802617554, -0.20957408996154175, -0.2518724195478132]"
destabilizing_treatment_17,pc2,0.25678052924259664,0.4465104466510089,-0.1410133137280905,-10.401020976631733,10,15.31619205568228,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004363162339364975, -0.02925525274615773, -0.05267716189640939, 0.038054961199324444, -0.11940813671131889, -0.1448564980996884, -0.14467029001556972, -0.1049307320067081, -0.21335090169997778, -0.1983091175596847]"
destabilizing_treatment_17,pc3,0.21295270463397553,0.35064961894017355,-0.18732511825526243,-13.395400763839108,10,14.810177157076058,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.000317010662882522, -0.0354771209335066, -0.08513009684484651, -0.13250867540071196, -0.13844223595484373, -0.13885890243458537, -0.19382269172317318, -0.2637005597378326, -0.26272550857997096, -0.14883028405263352]"
destabilizing_treatment_18,pc1,0.16986505514793193,0.647842705888253,0.028745794730245584,-17.01257007641067,10,14.33209502583571,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0032588446631901923, -0.013557347745348418, 0.025589030206992963, 0.041811072731150374, -0.012710512219653539, 0.03103394708609941, 0.00438856635793634, 0.03391451700865004, 0.047476992683323616, 0.07816830644651947]"
destabilizing_treatment_18,pc2,0.23092416612794953,1.2013488998996076,-0.004212542381150892,-12.099142557928303,10,15.013730825778673,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0063907030353971385, 0.08279903093102815, -0.04519473213216531, 0.022475082166341434, -0.05744911128011612, 0.04507169220280702, -0.020695367858725472, -0.09876168354641603, -0.004952617343607857, 0.021856769180966143]"
destabilizing_treatment_18,pc3,0.2621197783353348,0.3789621383094268,-0.12775341752068087,-10.071768804075646,10,15.38052731568546,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0022585139566844536, -0.017647368717551452, -0.23476983176343108, -0.21307032171120022, -0.16148873308272232, -0.18282138649847712, -0.23804011223095345, -0.22500174671984666, -0.241172461703663, -0.03877910269726148]"
destabilizing_treatment_19,pc1,0.2592442403909729,0.6987050534320093,-0.020678006186181395,-10.248317348548518,10,15.345772938017422,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004636992341170743, 0.10071582477808534, -0.06604780899968353, 0.008649638366611659, 0.037514941855461365, -0.05815686079762267, -0.13212962897304747, -0.021999578109628784, -0.04881248187071485, -0.08741988359727132]"
destabilizing_treatment_19,pc2,0.24448546954784936,0.6562400004919284,-0.07466382959325958,-11.186024386481618,10,15.170669647026877,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.00642081998710363, 0.006897539358007405, -0.016892725647447756, -0.038986664577059266, -0.10580442564624437, 0.004261665330715869, -0.03903686234124299, -0.0839054685767916, -0.19761627897824097, -0.10431008821735899]"
