Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
control_pc1,pc1,0.250647074,0.203760008,-0.001330141,-4625.333655,35,53.12139242,basinhopping
control_pc2,pc2,0.250646291,0.20379077,-0.001323321,-4625.333653,35,53.12139242,basinhopping
control_pc3,pc3,0.250644562,0.203783358,-0.001336365,-4625.333655,35,53.12139242,basinhopping
destabilizing_treatment_pc1,pc1,0.252898916,0.006478503,0.09973766,-4563.924355,35,53.14812373,basinhopping
destabilizing_treatment_pc2,pc2,0.252899071,0.006477782,0.099715908,-4563.924355,35,53.14812373,basinhopping
destabilizing_treatment_pc3,pc3,0.252899164,0.006478195,0.099741065,-4563.924355,35,53.14812373,basinhopping
