Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
destabilizing_treatment_12,pc3,0.22149186040439417,0.8247761552879782,-0.08225945930368785,-12.76637590210659,10,14.906370336065564,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.007146766619120464, -0.07826066601593588, -0.14622474008378095, -0.12555132494001447, -0.13287899451651616, -0.09579507619281279, -0.04722306511664535, -0.04567272270159175, 0.01844444155813125, -0.13530585128653544]"
destabilizing_treatment_13,pc1,0.25318314953189675,0.34513352173047185,0.13728738448377287,-10.626682194410481,10,15.273263947083318,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0010100357329423314, 0.0604274197319449, 0.04446364390572999, 0.04587764872228833, -0.06477113155116337, 0.05678330456941953, 0.09103041620056251, 0.1850877153431155, 0.21560182659438057, 0.16562896234143665]"
destabilizing_treatment_13,pc2,0.1951159722552987,0.5123721981128322,0.20943366517791343,-14.795035879515638,10,14.611416578079751,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.001443200688937054, 0.04816967429828639, 0.00036884992637048475, 0.14355504720790754, 0.21457596599856102, 0.1977617973992695, 0.20836186738114304, 0.1501938107461066, 0.22130347708931358, 0.2278464405847494]"
destabilizing_treatment_13,pc3,0.19802917785097257,0.9842924664923136,-0.11155721021629911,-14.557851519370885,10,14.643739057204696,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.001102273842400714, -0.13409737001732985, -0.12132797688600455, -0.11230951643612523, -0.09026254337151647, -0.15840162856966628, -0.14107576460062835, -0.1492129372774324, -0.05597610300286493, -0.05013123572598473]"
destabilizing_treatment_14,pc1,0.26987591441889025,0.3657114138930845,0.13179490969536872,-9.605124269465012,10,15.475406531731554,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0008857697256518571, -0.06326787757374291, -0.030635811058314144, 0.09321387607739658, 0.043214403534155635, 0.03138033614926067, 0.1695896048709018, 0.2485361312584812, 0.17529134617361952, 0.1504729215588483]"
destabilizing_treatment_14,pc2,0.17612137126851923,0.485615570678657,0.06784499338336766,-16.433731651567424,10,14.401327938962233,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-4.8055082133653394e-05, 0.014771799698975302, 0.04168628515279847, 0.05721767737487815, 0.12406234420627847, 0.11105125762356723, 0.06596566795719014, 0.09389850854192008, 0.05259587321648088, 0.02508715751918101]"
destabilizing_treatment_14,pc3,0.2414306490995275,0.5006831625674906,-0.0020182317023087993,-11.387216167497224,10,15.135017325284942,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0035014565559600965, 0.09276221690514999, 0.021026057626204922, 0.0037640058628159445, 0.07635958848529713, 0.04022227121121581, -0.03842917127497489, -0.08227679578014051, -0.021983366035212504, -0.08091348323729197]"
destabilizing_treatment_15,pc1,0.18937577481400847,0.3675255046577429,-0.008426265556543307,-15.2728275456383,10,14.547849455856884,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.003436267377404376, -0.05963641748210831, 0.04861334732504913, 0.04530088265468721, 0.06405015871212079, 0.031447056686751074, -0.02417817560368591, -0.032152210012741045, -0.02480014790069244, 0.0415065728396509]"
destabilizing_treatment_15,pc2,0.16950297464391606,0.1323075395463216,-0.49578891778491946,-17.04670331853226,10,14.32808633743499,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0024830986456403827, -0.02868922445596407, 0.013650414929526476, -0.054218195694537376, -0.1652118077120494, -0.20622533071976368, -0.21055955056256753, -0.25335919186969513, -0.3162958705656107, -0.32684706830488475]"
destabilizing_treatment_15,pc3,0.2481791061843608,0.7349578215395487,-0.02753047665431019,-10.946200919747973,10,15.214015103812166,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.005519333771982953, 0.021325910734002106, -0.05365511855704614, -0.021597136799328197, 0.025095578936066384, -0.07756830657271119, -0.1077661414443285, -0.14153659341182698, 0.030038029415422607, 0.016707989116665958]"
