Eigvals	0

Proportion explained	0

Species	0	0

Site	700	3
control_0_t0	-0.006684776847567031	-0.006773544012862711	0.009355895849196503
control_0_t1	-0.03510861142881184	0.047752565161142124	-0.010810097344743934
control_0_t2	-0.009348598731196377	0.010146108304152787	0.023514682394746654
control_0_t3	0.04963418727868327	0.002256061264367981	0.08489939477109756
control_0_t4	0.03546875789911813	0.007535768038683792	0.0560790910768036
control_0_t5	0.019434778864605644	-0.11402353347955488	0.09256296263756336
control_0_t6	0.06368053932383817	-0.15867648112206198	0.16839864937503035
control_0_t7	0.014843611841725612	-0.0510716834002901	0.13573497966669743
control_0_t8	0.006228248436986276	-0.0634340660832581	0.053477445548640146
control_0_t9	-0.02690447496147459	-0.17093084733746566	0.040841148489746376
control_1_t0	-0.00943590369913152	-0.003327604111159177	-0.0044483434108711275
control_1_t1	-0.037114805748047215	0.059371747170400974	-0.05176624796432678
control_1_t2	-0.09135203059786413	0.0796648965762582	-0.10370568734685884
control_1_t3	0.02822589466100571	0.05742962471986907	-0.04139502980323878
control_1_t4	0.036016937860608264	-0.010507922054239387	-0.09100570020579261
control_1_t5	-0.03328325287989775	0.03862833672392448	-0.17492971431302917
control_1_t6	-0.062305901032166516	0.03097615845927961	-0.18425612843326938
control_1_t7	0.010861523289611708	-0.027172157978639866	-0.22969020059954356
control_1_t8	-0.01047865083253505	-0.07793690061267275	-0.23025952353097592
control_1_t9	-0.054830595435419294	-0.1088576902296331	-0.3946591680554271
control_2_t0	0.007121114864193421	0.007004254371492855	0.0017934041263600786
control_2_t1	0.008532242295366468	0.0239653509745536	-0.07008630739244151
control_2_t2	0.060598651942257026	0.08934766145848928	-0.07383016937481521
control_2_t3	0.03870975516425939	0.07243411752254336	-0.1285514686962988
control_2_t4	0.1516459502003627	0.032317431550213216	-0.10604392676858734
control_2_t5	0.13421592107529196	0.16692704341460732	-0.24733356572420015
control_2_t6	0.16891752587493208	0.2610129328160308	-0.127092617611909
control_2_t7	0.07861438066473311	0.24701915439610292	-0.10264757318825952
control_2_t8	0.0765656056242725	0.13726588439486043	-0.023356773608280743
control_2_t9	0.001486219044750603	0.01723879540851994	-0.05456003378258612
control_3_t0	0.009856213015453067	0.0009642753082069678	-0.008081175967904206
control_3_t1	-0.027410844630583346	0.0037450011788049743	0.02819508864201077
control_3_t2	-0.060098111346777235	0.20261567523332294	-0.025058885907978744
control_3_t3	0.06226614023966904	0.1731430807835138	-0.02148771998379478
control_3_t4	0.08146347341355867	0.20825557733672118	-0.07184826513142699
control_3_t5	0.07777702178524655	0.14914355941464677	-0.015543673263138519
